PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
C	Xu, XH; Ye, SY; Gao, JH; Zhang, YH; Shen, LX; Ye, L			IEEE	Xu, Xinhang; Ye, Siyuan; Gao, Jihang; Zhang, Yihan; Shen, Linxiao; Ye, Le			A 32-ppm/°C 0.9-nW/kHz Relaxation Oscillator with Event-Driven Architecture and Charge Reuse Technique	2022 IEEE INTERNATIONAL SYMPOSIUM ON CIRCUITS AND SYSTEMS (ISCAS 22)	IEEE International Symposium on Circuits and Systems			Proceedings Paper	IEEE International Symposium on Circuits and Systems (ISCAS)	MAY 28-JUN 01, 2022	Austin, TX			CMOS; relaxation oscillator (RxO); event-driven architecture; charge reuse technique; start-up time; temperature coefficient (TC); power efficiency		This paper presents a dual-phase RC-based relaxation oscillator (RxO) with low temperature coefficient (TC) and high power efficiency achieved simultaneously for energyconstrained Internet-of-Things (IoT) applications with burstmode requirements. Its circuit-level event-driven architecture reduces the duty cycle of power-hungry blocks, saving power while posing little performance penalty. In addition, the charge reuse technique further reduces the power consumption for the always-on detecting circuit. Implemented in a 0.18- mu m CMOS process, the 180-kHz relaxation oscillator exhibits a frequency deviation of +/- 0.26% against temperature (-40 to 125 degrees C) from Monte-Carlo simulation (N=30), leading to a low temperature coefficient of 32 ppm/degrees C. The simulated power consumption is 163 nW, resulting in power efficiency of 0.9 nW/kHz.	[Xu, Xinhang; Ye, Siyuan; Gao, Jihang; Zhang, Yihan; Shen, Linxiao; Ye, Le] Peking Univ, Sch Integrated Circuits, Beijing 100871, Peoples R China	Peking University	Shen, LX; Ye, L (corresponding author), Peking Univ, Sch Integrated Circuits, Beijing 100871, Peoples R China.	linxiao.shen@pku.edu.cn; yele@pku.edu.cn						Chen Y, 2017, IEEE ASIAN SOLID STA, P105, DOI 10.1109/ASSCC.2017.8240227; Denier U, 2010, IEEE T CIRCUITS-I, V57, P1973, DOI 10.1109/TCSI.2010.2041504; Jiang HW, 2018, IEEE J SOLID-ST CIRC, V53, P3004, DOI 10.1109/JSSC.2018.2859834; Lechevallier JB, 2021, IEEE J SOLID-ST CIRC, V56, P2427, DOI 10.1109/JSSC.2021.3061032; Lee Y, 2013, IEEE J SOLID-ST CIRC, V48, P229, DOI 10.1109/JSSC.2012.2221233; Lu Y, 2013, IEEE T CIRCUITS-II, V60, P642, DOI 10.1109/TCSII.2013.2277984; Paidimarri A, 2016, IEEE J SOLID-ST CIRC, V51, P1866, DOI 10.1109/JSSC.2016.2559508; Savanth A, 2019, IEEE J SOLID-ST CIRC, V54, P3097, DOI 10.1109/JSSC.2019.2930360; Stegner Johannes, 2017, 2017 IEEE MTT-S International Microwave Symposium (IMS), P1303, DOI 10.1109/MWSYM.2017.8058850; Tokairin T., 2012, 2012 IEEE Symposium on VLSI Circuits, P16, DOI 10.1109/VLSIC.2012.6243767; Truesdell DS, 2021, IEEE J SOLID-ST CIRC, V56, P1241, DOI 10.1109/JSSC.2020.3048664	11	2	2	0	1										2022							1973	1977		10.1109/ISCAS48785.2022.9937717	http://dx.doi.org/10.1109/ISCAS48785.2022.9937717												2024-11-02	WOS:000946638602038
C	Nitz, S; Kleiner, C; Koschel, A; Astrova, I			IEEE	Nitz, Stefan; Kleiner, Carsten; Koschel, Arne; Astrova, Irina			Applying Event-Driven Architecture to Mobile Computing	2013 IEEE INTERNATIONAL SYMPOSIUM ON SIGNAL PROCESSING AND INFORMATION TECHNOLOGY (IEEE ISSPIT 2013)	IEEE International Symposium on Signal Processing and Information Technology			Proceedings Paper	IEEE International Symposium on Signal Processing and Information Technology (ISSPIT)	DEC 12-15, 2013	Athens, GREECE			XMPP (Extensible Messaging and Presence Protocol); Complex Event Processing (CEP); mobile computing; Event-Driven Architecture (EDA); MetaXA (Metadata-processing XMPP-based Architecture)	XMPP	Complex event processing (CEP) has been an area of intensive research in recent years. Similarly, mobile devices such as smart phones, tablets and laptops are widespread nowadays. Consequently, the integration of CEP into mobile computing is a natural idea. In this paper, we present MetaXA, an event-driven architecture (EDA) with CEP specifically designed for mobile devices, along with its application scenarios in mobile computing: notification distribution and theft detection. Among the main enhancements of MetaXA over previously published work are enabling CEP on mobile devices and leveraging a lightweight yet still platform-independent communication protocol (viz., XMPP). In addition, MetaXA features real-time communication patterns and a publish-subscribe mechanism. MetaXA is implemented on different mobile platforms: Android and Windows Phone.	[Nitz, Stefan] Edataconsulting GmbH, Gelsenkirchen, Germany; [Kleiner, Carsten; Koschel, Arne] Univ Appl Sci & Arts Hannover, Dept Comp Sci, Fac 4, Hannover, Germany; [Astrova, Irina] Tallinn Univ Technol, Inst Cybernet, EE-19086 Tallinn, Estonia	Hochschule Hannover-University of Applied Sciences & Arts; Tallinn University of Technology	Nitz, S (corresponding author), Edataconsulting GmbH, Gelsenkirchen, Germany.	stefan.nitz@edataconsulting.de; ckleiner@acm.org; akoschel@acm.org; irina@cs.ioc.ee						Abousharkh M, 2012, P IEEE INT C INF TEC, P1; Almeida M., 2010, 6 INT MOB MULT COMM, V10; [Anonymous], 2008, World of Wireless, Mobile and Multimedia Networks; [Anonymous], P 8 INT C UB INT COM; Bernstein D., 2010, USING XMPP TRANSPORT; Chowdhury Atanu Roy, 2010, 2010 IEEE International Conference on Pervasive Computing and Communications (PerCom 2010), P125, DOI 10.1109/PERCOM.2010.5466985; Hornsby A, 2009, I SYMP CONSUM ELECTR, P16; Klauck R., 2012, 2012 IEEE International Conference on Pervasive Computing and Communications Workshops (PerCom Workshops), P752, DOI 10.1109/PerComW.2012.6197613; Klauck R, 2011, COLLABORATECOM, P201, DOI 10.4108/icst.collaboratecom.2011.247108; LABIDI W, 2008, P 2 INT C AMB INT DE, P92; Owen S., 2009, INT C ULTR TEL WORKS, P1; Rowe A, 2011, IBM J RES DEV, V55, DOI 10.1147/JRD.2010.2089662; Saint-Andre Peter., 2009, XMPP: The Definitive Guide; Wagener J, 2009, BMC BIOINFORMATICS, V10, DOI 10.1186/1471-2105-10-279	14	2	2	0	1										2013							58	63															2024-11-02	WOS:000353563200008
C	Gördesli, M; Varol, A		Varol, A; Karabatak, M; Varol, C		Gordesli, Mustafa; Varol, Asaf			Comparing Interservice Communications of Microservices for E-Commerce Industry	2022 10TH INTERNATIONAL SYMPOSIUM ON DIGITAL FORENSICS AND SECURITY (ISDFS)				Proceedings Paper	10th International Symposium on Digital Forensics and Security (ISDFS)	JUN 06-07, 2022	Maltepe, TURKEY			Microservices; REST; Event Driven Architecture		Most of the e-commerce companies are using microservices rather than monolithic architecture. Using microservices gives the ability of scalability and better fault tolerance. On the other hand, using microservices has some challenges, one of them is that communication between microservices must be efficient and robust. In this work, we focused on this challenge, analyzed the performance of communication techniques, and identified their advantages and disadvantages. We compared synchronous REST architecture and asynchronous event driven architecture.	[Gordesli, Mustafa; Varol, Asaf] Maltepe Univ, Coll Engn & Nat Sci, Dept Comp Engn, Istanbul, Turkey	Maltepe University	Gördesli, M (corresponding author), Maltepe Univ, Coll Engn & Nat Sci, Dept Comp Engn, Istanbul, Turkey.	mgords@gmail.com; asafvarol@maltepe.edu.tr						Aksakalli IK, 2021, J SYST SOFTWARE, V180, DOI 10.1016/j.jss.2021.111014; Cebeci K., 2020, BILISIM TEKNOLOJILER, V13, P357, DOI [10.17671/gazibtd.558392, DOI 10.17671/GAZIBTD.558392]; Hasselbring W, 2016, PROCEEDINGS OF THE 2016 ACM/SPEC INTERNATIONAL CONFERENCE ON PERFORMANCE ENGINEERING (ICPE'16), P133, DOI 10.1145/2851553.2858659; Kratzke N, 2017, Arxiv, DOI arXiv:1710.04049; Kumar PK, 2021, 2021 INT C SMART APP, P1, DOI [10.1109/SmartNets50376.2021.9555425, DOI 10.1109/SMARTNETS50376.2021.9555425]; Newman S., 2015, BUILDING MICROSERVIC; Saransig A, 2019, ADV INTELL SYST, V865, P270, DOI 10.1007/978-3-030-01171-0_25; Westrup E., 2014, USING GO PROGRAMMING	8	2	3	0	7										2022										10.1109/ISDFS55398.2022.9800784	http://dx.doi.org/10.1109/ISDFS55398.2022.9800784												2024-11-02	WOS:000852444000010
C	Harikumar, AK; Lee, R; Chiang, CC; Yang, HS		Zhang, D; Khoshgoftaar, TM; Shyu, ML		Harikumar, AK; Lee, R; Chiang, CC; Yang, HS			An event driven architecture for application integration using web services	PROCEEDINGS OF THE 2005 IEEE INTERNATIONAL CONFERENCE ON INFORMATION REUSE AND INTEGRATION				Proceedings Paper	IEEE International Conference on Information Reuse and Integration (IRI-2005)	AUG 15-17, 2005	Las Vegas, NV			Enterprise Application Integration; event driven architecture; web services; data transformation		The history of computing has seen several interesting trends. From a programmer building custom packaged applications to the development of Enterprise Resource Planning (ERP) systems, and other business specific packages. The need for integrating different systems in the organization led to point to point interface and spaghetti architecture. Fallout of these spaghetti architectures is the development of the Enterprise Application Integration (EAI) concept. In this paper we are going to discuss about the evolution of EAI concepts and a new architecture for event driven data transformation for application integration using Web Services. The new architecture overcomes the drawback of request-reply semantics of web services by providing an event driven architecture, which supports asynchronous communication between applications using web services. We have also implemented a secure framework for accessing third party web services using message level encryption and digital certificates.	Cent Michigan Univ, SEITI, Mt Pleasant, MI 48859 USA	Central Michigan University	Cent Michigan Univ, SEITI, Mt Pleasant, MI 48859 USA.	harik1ak@cps.cmich.edu; lee@cps.cmich.edu; cxxhiang@ualr.edu; hsyang@office.hoseo.ac.kr						*AT APT IC TECHN C, AD EAI TECHN TOOLS T; CREAMER MF, 1999, EAI J            JUL, P1; KUMAR KE, 2001, EAI WEB SERVICES SIM; MURRAY JD, GLOSSARY TERMS; SAMTANI G, 2001, EAI WEB SERVICES EAS; Stonebraker M, 2002, SIGMOD RECORD, V31, P97, DOI 10.1145/507338.507362	6	5	5	0	2										2005							542	547															2024-11-02	WOS:000232402700091
C	Wang, ZX; Ye, L; Zhang, H; Ru, JY; Fan, HT; Wang, YY; Huang, R			IEEE	Wang, Zhixuan; Ye, Le; Zhang, Hao; Ru, Jiayoon; Fan, Haitao; Wang, Yangyuan; Huang, Ru			20.2 A 57nW Software-Defined Always-On Wake-Up Chip for IoT Devices with Asynchronous Pipelined Event-Driven Architecture and Time-Shielding Level-Crossing ADC	2020 IEEE INTERNATIONAL SOLID- STATE CIRCUITS CONFERENCE (ISSCC)	IEEE International Solid State Circuits Conference			Proceedings Paper	IEEE International Solid-State Circuits Conference (ISSCC)	FEB 16-20, 2020	San Francisco, CA						[Wang, Zhixuan; Ye, Le; Zhang, Hao; Wang, Yangyuan; Huang, Ru] Peking Univ, Beijing, Peoples R China; [Ye, Le; Fan, Haitao] Peking Univ, Adv Inst Informat Technol, Hangzhou, Peoples R China; [Ru, Jiayoon] XINYI Informat Technol, Shanghai, Peoples R China	Peking University; Peking University	Wang, ZX (corresponding author), Peking Univ, Beijing, Peoples R China.							Cho M, 2019, ISSCC DIG TECH PAP I, V62, P278, DOI 10.1109/ISSCC.2019.8662540; Jeong S, 2017, ISSCC DIG TECH PAP I, P362, DOI 10.1109/ISSCC.2017.7870411; Paul S, 2017, IEEE J SOLID-ST CIRC, V52, P961, DOI 10.1109/JSSC.2016.2638465; Rovere G, 2018, IEEE J EM SEL TOP C, V8, P543, DOI 10.1109/JETCAS.2018.2828505; Yang MH, 2018, ISSCC DIG TECH PAP I, P346, DOI 10.1109/ISSCC.2018.8310326	5	7	7	3	15										2020							314	+		10.1109/isscc19947.2020.9062952	http://dx.doi.org/10.1109/isscc19947.2020.9062952												2024-11-02	WOS:000570129800123
C	Zhelev, S; Rozeva, A		Pasheva, V; Popivanov, N; Venkov, G		Zhelev, Svetoslav; Rozeva, Anna			Using Microservices and Event Driven Architecture for Big Data Stream Processing	PROCEEDINGS OF THE 45TH INTERNATIONAL CONFERENCE ON APPLICATION OF MATHEMATICS IN ENGINEERING AND ECONOMICS (AMEE'19)	AIP Conference Proceedings			Proceedings Paper	45th International Conference on Application of Mathematics in Engineering and Economics (AMEE)	JUN 07-13, 2019	Sozopol, BULGARIA					Choosing the appropriate architecture for a big data project is not a straightforward task. The architect needs to have knowledge in the problem domain, future application requirements, big data technology landscape and architectural patterns. Today's dynamic business environment enforces constantly evolving big data applications, which often need to process thousands of messages per second. Solutions implementing microservices and Event Driven Architecture (EDA) could provide scalability and extensibility to the required application. The article will outline microservices and EDA challenges, advantages and potential problems concerning big data stream processing.	[Zhelev, Svetoslav; Rozeva, Anna] Tech Univ Sofia, 8 Kliment Ohridski Blv, Sofia 1000, Bulgaria	Technical University Sofia	Zhelev, S (corresponding author), Tech Univ Sofia, 8 Kliment Ohridski Blv, Sofia 1000, Bulgaria.	sk@goodlightsolutions.com; arozeva@tu-sofia.bg						Chandy K.M., 2006, EVENT DRIVEN APPL CO; Freeman E., 2014, HEAD 1 DESIGN PATTER; Gamma E., 1994, Design patterns: Elements of reusable object-oriented software; Kooijmans A. L., 2012, TRANSACTION PROCESSI; Richards M., 2015, Microservices vs Service Oriented Architecture; Richardson Chris., 2019, MICROSERVICE PATTERN; Sadalage P., 2012, NoSQL Distilled: A Brief Guide to the Emerging World of Polyglot Persistence	7	10	11	0	8										2019	2172								090010	10.1063/1.5133587	http://dx.doi.org/10.1063/1.5133587												2024-11-02	WOS:000521744400105
C	Sookoo, K; Van Belle, JP; Seymour, L		Tjoa, AM; DaXu, L; Raffai, M; Novak, NM		Sookoo, Kavish; Van Belle, Jean-Paul; Seymour, Lisa			Implementing an Event-Driven Enterprise Information Systems Architecture: Adoption Factors in the Example of a Micro Lending Case Study	RESEARCH AND PRACTICAL ISSUES OF ENTERPRISE INFORMATION SYSTEMS, 10TH IFIP WG 8.9 WORKING CONFERENCE, CONFENIS 2016	Lecture Notes in Business Information Processing			Proceedings Paper	10th IFIP WG 8.9. Working Conference on Research and Practical Issues of Enterprise Information Systems (CONFENIS)	DEC 13-14, 2016	Austrian Comp Soc, Vienna, AUSTRIA		Austrian Comp Soc	Event-driven architecture; Distributed EIS; SOA; IS adoption	MANAGEMENT; SOA	Event-driven architecture (EDA) is an architectural approach for enabling communication between distributed enterprise information systems. EDA enables organisations to be adaptable, flexible and robust in the management of business processes and ultimately achieving agility. This paper reviews definitions, concepts and adoption criteria for an EDA and a case study investigates the adoption of the EDA in a micro lending organisation exploring the technological, organisational and environmental adoption factors.	[Sookoo, Kavish; Van Belle, Jean-Paul; Seymour, Lisa] Univ Cape Town, Dept Informat Syst, Cape Town, South Africa	University of Cape Town	Van Belle, JP (corresponding author), Univ Cape Town, Dept Informat Syst, Cape Town, South Africa.	Jean-Paul.VanBelle@uct.ac.za						[Anonymous], 2011, EVENT PROCESSING BUS; Ave W. M., 2013, P 34 INT C INF SYST, P1; Barn, 2012, P 5 ACM IND SOFTW EN, P23, DOI 10.1145/2134254.2134258; Barthe-Delanoë AM, 2014, DECIS SUPPORT SYST, V59, P171, DOI 10.1016/j.dss.2013.11.005; Basias N, 2013, J ENTERP INF MANAG, V26, P719, DOI 10.1108/JEIM-07-2013-0042; Betts D., 2012, EXPLORING CQRS EVENT; Bhutta N, 2014, J BANK FINANC, V47, P230, DOI 10.1016/j.jbankfin.2014.04.024; Boike D., 2015, LEARNING NSERVICEBUS; Chen Y, 2014, EUR J INFORM SYST, V23, P326, DOI 10.1057/ejis.2013.4; Clark T., 2009, IEEE 6 INT S SERV OR, P43; Esposito C, 2013, COMPUT NETW, V57, P1318, DOI 10.1016/j.comnet.2012.10.023; Fan MH, 2013, COMPUT GEOSCI-UK, V56, P1, DOI 10.1016/j.cageo.2013.01.013; Gangwar H, 2014, J ENTERP INF MANAG, V27, P488, DOI 10.1108/JEIM-08-2012-0047; Ghalsasi S.Y., 2009, P 2 INT C INT SCI IN, P1441; Juric MB, 2010, INFORM SOFTWARE TECH, V52, P1023, DOI 10.1016/j.infsof.2010.04.005; Krumeich J, 2014, BUS PROCESS MANAG J, V20, P615, DOI 10.1108/BPMJ-07-2013-0092; MacLennan E, 2014, INF SYST E-BUS MANAG, V12, P71, DOI 10.1007/s10257-012-0212-x; Magoutas B, 2013, LECT NOTES BUS INF P, V132, P402; Mashigo P, 2012, NEW CONTREE, P23; Morse A, 2011, J FINANC ECON, V102, P28, DOI 10.1016/j.jfineco.2011.03.022; Nitz S, 2013, IEEE INT SYMP SIGNAL, P58, DOI 10.1109/ISSPIT.2013.6781854; Nkpoyen F., 2012, INT J BUS SOC SCI, V3, P1; Raffelsieper T., 2012, REQUIREMENTS PATTERN, P1; Saunders M., 2009, Research Methods for Business Students, V4th ed; Tornatzky L., 1990, The processes of technological innovation; VEZZANI R, 2010, ANN BMVA, V2010, P1; Zagarese Q, 2015, SCI COMPUT PROGRAM, V97, P266, DOI 10.1016/j.scico.2014.03.007	27	0	0	0	1										2016	268						293	308		10.1007/978-3-319-49944-4_22	http://dx.doi.org/10.1007/978-3-319-49944-4_22												2024-11-02	WOS:000403600800022
C	Umer, M; Mahesh, B; Hanson, L; Khabbazi, MR; Onori, M		Wang, L		Umer, Muhammad; Mahesh, Bhargav; Hanson, Lars; Khabbazi, M. R.; Onori, Mauro			Smart Power Tools : An Industrial Event-Driven Architecture Implementation	51ST CIRP CONFERENCE ON MANUFACTURING SYSTEMS	Procedia CIRP			Proceedings Paper	51st CIRP Conference on Manufacturing Systems (CIRP CMS)	MAY 16-18, 2018	Stockholm, SWEDEN			Event-Driven Architecture; Automation; Digitalization; Digital Manufacturing System; Industry 4.0; Integration; Smart Factory		In order to remain competitive, more and more industries are embracing the concept of industry 4.0 and trying to improve their manufacturing systems. A modern manufacturing system is the one which provides the industry with flexibility to adopt to the constantly changing market demands. In order to be flexible, the manufacturing system should be able to make better use of the shop floor data. Data from the shop floor level should be available in real time to facilitate the decision making process. The process of implementation of an event driven architecture along with services in a real time production environment will be discussed in this paper. For this purpose, pedal car line at Scania Sodertalje is analyzed for the implementation of event driven architecture. The old hand held tools and controllers at the assembly stations were replaced with modern wireless power tools and the latest power focus 6000 controller. The data generated by the power tools was converted into a standard format so that it can easily be interpreted by a message broker. The messages were published on Kafka message bus where other systems were able to subscribe and consume the data. A couple of endpoints were created, one was a REST API that subscribed to the message bus and consumed the data from power tools and visualized key parameters for the operator at the shop floor in real time. Second service created was to calculate certain KPIs and visualize them in graphs form for the maintenance and production engineers. This implementation demonstrated that an event driven architecture such as LISA can be implemented on a real shop floor making real time data available to different systems. (C) 2018 The Authors. Published by Elsevier B.V. Peer-review under responsibility of the scientific committee of the 51st CIRP Conference on Manufacturing Systems.	[Umer, Muhammad; Mahesh, Bhargav; Khabbazi, M. R.; Onori, Mauro] Royal Inst Technol KTH, Prod Engn, Brinellvagen 68, S-10044 Stockholm, Sweden; [Umer, Muhammad; Mahesh, Bhargav; Hanson, Lars] SCANIA CV AB, SE-1518 Sodertalje, Sweden; [Hanson, Lars] Univ Skovde, S-54128 Skovde, Sweden	Royal Institute of Technology; Scania; University of Skovde	Khabbazi, MR (corresponding author), Royal Inst Technol KTH, Prod Engn, Brinellvagen 68, S-10044 Stockholm, Sweden.	khabbazi@kth.se						Cubera Francisco., Service Oriented Computing (SOC), number 05462 in Dagstuhl Seminar Proceedings, Dagstuhl, Germany, 2006; Demongodin Isabel, 2008, HOLONIC APPROACH MAN; Ecma International, 2017, ECMA404; Endrass F., 2013, PERFORMANCE MEASUREM; Menge F., FREE OP SOURC SOFTW; Michelson B.M., 2006, EVENT DRIVEN ARCHITE; Prachi M.Birajdar, 2016, INT RES J ENG TECHNO, V03; Taylor Hugh., 2009, EVENT DRIVEN ARCHITE, V1st; Welke R, 2011, COMPUTER, V44, P61, DOI 10.1109/MC.2011.56; Zhang Liang Jie, 2007, SERVICES COMPUTING, P90	10	6	6	0	5										2018	72						1357	1361		10.1016/j.procir.2018.03.058	http://dx.doi.org/10.1016/j.procir.2018.03.058												2024-11-02	WOS:000526120800229
C	Kato, T; Ishikawa, N; Yoshida, N			IEEE	Kato, Takeshi; Ishikawa, Norihiro; Yoshida, Naofumi			Distributed Autonomous Control of Home Appliances based on Event Driven Architecture	2017 IEEE 6TH GLOBAL CONFERENCE ON CONSUMER ELECTRONICS (GCCE)	IEEE Global Conference on Consumer Electronics			Proceedings Paper	IEEE 6th Global Conference on Consumer Electronics (GCCE)	OCT 24-27, 2017	Nagoya, JAPAN			ECA rule; device metadata; PUCC; smart home		In the near future, Internet of Things (IoT) will realize that sensors and processors embedded in every device and communicate with each other. In order to realize smart home, it is desirable for home appliances to autonomously communicate with each other, and do actions. To this end, we propose distributed autonomous control framework of home appliances based on event driven architecture where each home appliance works autonomously in accordance with Event-Condition-Action rules stored within each home appliance. We also design and implement the proposed framework and evaluate its effectiveness and practicality.	[Kato, Takeshi] Komazawa Univ, Grad Sch Global Media, Tokyo, Japan; [Ishikawa, Norihiro; Yoshida, Naofumi] Komazawa Univ, Fac Global Media Studies, Tokyo, Japan		Kato, T (corresponding author), Komazawa Univ, Grad Sch Global Media, Tokyo, Japan.	3715201t@komazawa-u.ac.jp; isic@komazawa-u.ac.jp; naofumi@komazawa-u.ac.jp						Ishikawa N, 2013, P IEEE, V101, P2355, DOI 10.1109/JPROC.2013.2274095; Manuel Garcia-Herranz, 2010, J AMBIENT INTELLIGEN, V2; NORMAN WP, 1999, ACM COMPUT SURV, V31, P1999; Ramli A. R., 2009, IEEE T CONSUMER ELEC, V55	4	0	0	0	1										2017																							2024-11-02	WOS:000426994600120
C	Stich, V; Hering, N; Starick, CP; Brandenburg, U		Prabhu, V; Taisch, M; Kiritsis, D		Stich, Volker; Hering, Niklas; Starick, Christian Paul; Brandenburg, Ulrich			Energy-Efficiency Concept for the Manufacturing Industry	ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: SUSTAINABLE PRODUCTION AND SERVICE SUPPLY CHAINS, PT 1	IFIP Advances in Information and Communication Technology			Proceedings Paper	IFIP WG 5.7 International Conference on Advances in Production Management Systems (APMS)	SEP 09-12, 2013	State College, PA			Energy-Efficiency; Real-Time Capability; Event-driven Architecture; Complex Event Processing; Production Planning and Scheduling	RFID TECHNOLOGY; SYSTEM	Depletion of fossil energy sources, rising energy prices and government regulation coerces manufacturing companies to foster their energy-efficiency. Among others, Information and communication technologies (ICT) are considered to be major enablers for improving the energy-efficiency. In this paper a concept for energy-efficiency based on an Event-driven Architecture (EDA) using Complex-Event-Processing (CEP) is presented that supports the integration of sensor data from the shop-floor level into the company's decision support systems. Finally, a use-case for implementing the proposed concept in a real production environment is presented.	[Stich, Volker; Hering, Niklas; Starick, Christian Paul; Brandenburg, Ulrich] Rhein Westfal TH Aachen, Inst Ind Management, D-52062 Aachen, Germany	RWTH Aachen University	Stich, V (corresponding author), Rhein Westfal TH Aachen, Inst Ind Management, Pontdriesch 14-16, D-52062 Aachen, Germany.	Volker.Stich@fir.rwth-aachen.de; Niklas.Hering@fir.rwth-aachen.de; Christian.Starick@fir.rwth-aachen.de; Ulrich.Brandenburg@fir.rwth-aachen.de						[Anonymous], Tracking Industrial Energy Efficiency and CO2 Emissions; [Anonymous], 7 INT C DIG ENT TECH; [Anonymous], 2010, EN UMW ZUV BEZ EN; Bottani E, 2008, INT J PROD ECON, V112, P548, DOI 10.1016/j.ijpe.2007.05.007; Bruns R., 2010, Event-Driven Architecture; Bunse K, 2011, J CLEAN PROD, V19, P667, DOI 10.1016/j.jclepro.2010.11.011; Chalasani S, 2007, IEEE T IND INFORM, V3, P246, DOI 10.1109/TII.2007.904147; Chryssolouris G., 2006, EUR J WILDLIFE RES, V2nd, DOI [10.1007/s10344-004-0044-1, DOI 10.1007/S10344-004-0044-1]; Dunkel J., 2009, International Symposium on Autonomous Decentralized Systems, P1; Dunkel J., 2010, INTELLIGENT SYSTEMS, P64; Erlach K., 2009, Energiewertstrom: Der Weg zur energieeffizienten Fabrik; Fanian A, 2011, COMPUT NETW, V55, P1849, DOI 10.1016/j.comnet.2011.01.016; Feldmann K, 2001, CIRP ANN-MANUF TECHN, V50, P489, DOI 10.1016/S0007-8506(07)62987-4; Fleisch E., 2005, Das Internet der Dinge, Berlin/, P3; Huang GQ, 2008, J INTELL MANUF, V19, P701, DOI 10.1007/s10845-008-0121-5; Incel OD, 2011, COMPUT NETW, V55, P3081, DOI 10.1016/j.comnet.2011.05.020; International Energy Agency World Energy Outlook, 2012, WORLD EN OUTL 2002; Kuhlmann F., 2009, EPC INFORMATIONSERVI; LUCKHAM D, 2005, POWER EVENTS INTRO C; May G, 2013, IFIP ADV INF COMM TE, V397, P1; Michelson B.M., 2006, EVENT DRIVEN ARCHITE; Reinhart G., 2011, ZWF, V106, P596; Stankovski S, 2009, ASSEMBLY AUTOM, V29, P364, DOI 10.1108/01445150910987781; Teizer J, 2009, ADV ENG INFORM, V23, P452, DOI 10.1016/j.aei.2009.06.011; Zhou SQ, 2007, INT J ADV MANUF TECH, V33, P837, DOI 10.1007/s00170-006-0506-6	25	3	3	0	3										2013	414						86	93															2024-11-02	WOS:000329974800011
C	Lei, YC; Zhang, W; Gong, YL; Zhang, HY		ElBaz, D; Bourgeois, J; Spies, F		Lei, Yingchun; Zhang, Wen; Gong, Yili; Zhang, Huyin			MEANS: a micro-thread architecture for network server	PROCEEDINGS OF THE 16TH EUROMICRO CONFERENCE ON PARALLEL, DISTRIBUTED AND NETWORK-BASED PROCESSING	Euromicro Conference on Parallel Distributed and Network-Based Processing			Proceedings Paper	16th Euromicro International Conference on Parallel, Distributed and Network-Based Processing	FEB 13-15, 2008	Toulouse, FRANCE					Internet applications require high-performance network server architecture. This paper proposes a kind of software architecture for network server, AEANS, which aims at supporting Internet applications. By introducing a new thread abstraction, micro-thread, MEANS upwardly provides the micro-thread environment to programmers, and downwardly accesses the OS services concurrently through traditional thread primitives, and uses the event-driven mechanism to manage and schedule micro-threads, which takes advantage of both multithread and event-driven architecture. Moreover, MEANS is general, scalable, robust and adaptable. By preliminary evaluation, in terms of the concurrence policy, MEANS has features similar to event-driven architecture; and it outperforms multithread architecture in I/Oaccessing.	[Lei, Yingchun; Zhang, Wen; Zhang, Huyin] Wuhan Univ, Comp Sch, Wuhan 430072, Peoples R China; [Lei, Yingchun] Chinese Acad Sci, Inst Comp Technol, Beijing 100080, Peoples R China; [Gong, Yili] Indiana Univ, Commun Grids Lab, Bloomington, IN 47404 USA	Wuhan University; Chinese Academy of Sciences; Institute of Computing Technology, CAS; Indiana University System; Indiana University Bloomington	Lei, YC (corresponding author), Wuhan Univ, Comp Sch, Wuhan 430072, Peoples R China.	leiyc@ict.ac.cn						[Anonymous], P SIGMETRICS WORKSH; PAI VS, 1999, P 1999 ANN US TECHN; VONBEHREN R, 2003, P 19 S OP SYST PRINC; Welsh M., 2001, P 18 S OP SYST PRINC	4	1	1	0	1										2008							38	+		10.1109/PDP.2008.17	http://dx.doi.org/10.1109/PDP.2008.17												2024-11-02	WOS:000254266500005
